Section,Question,A,B,C,D,Correct,Explanation
MCQ on Hypoparathyroidism,44. Which symptom is specific to severe hypocalcemia in Hypoparathyroidism?,A) Bone fractures,B) Bronchospasm,C) Hair loss,D) Constipation,B,
MCQ on Hypoparathyroidism,45. A patient with Hypoparathyroidism may show:,A) Hyperreflexia,B) Hyporeflexia,C) Weight loss,D) Exophthalmos,A,
MCQ on Hypoparathyroidism,46. Which gland’s surgical removal can cause Hypoparathyroidism?,A) Adrenal,B) Parathyroid,C) Pancreas,D) Pituitary,B,
MCQ on Hypoparathyroidism,47. A nursing priority for Hypoparathyroidism is to monitor:,A) Blood pressure,B) Signs of hypocalcemia,C) Blood sugar levels,D) Thyroid hormone levels,B,
MCQ on Hypoparathyroidism,48. Hypoparathyroidism may result from:,A) Magnesium deficiency,B) Excess calcium intake,C) Hyperthyroidism,D) Diabetes mellitus,A,
MCQ on Hypoparathyroidism,49. Which food should be encouraged for Hypoparathyroidism patients?,A) Dairy products,B) Processed meats,C) Sugary snacks,D) Carbonated drinks,A,
MCQ on Hyperparathyroidism,50. Long-term untreated Hypoparathyroidism can lead to:,A) Cataracts,B) Kidney stones,C) Osteoporosis,D) Hyperglycemia,A,
MCQ on Hyperparathyroidism,2. The primary effect of Hyperparathyroidism on blood calcium levels is:,A) Hypocalcemia,B) Hypercalcemia,C) Hypokalemia,D) Hyperkalemia,B,
MCQ on Hyperparathyroidism,3. What is the normal range for serum calcium in adults?,A) 3.5-5.0 mg/dL,B) 8.5-10.5 mg/dL,C) 12-15 mg/dL,D) Below 2.0 mg/dL,B,
MCQ on Hyperparathyroidism,4. A common symptom of Hyperparathyroidism is:,A) Muscle cramps,B) Bone pain,C) Tetany,D) Weight gain,B,
MCQ on Hyperparathyroidism,6. Which condition is a common complication of Hyperparathyroidism?,A) Kidney stones,B) Seizures,C) Hypocalcemia,D) Weight loss,A,
MCQ on Hyperparathyroidism,8. Which surgical procedure is used to treat Hyperparathyroidism?,A) Thyroidectomy,B) Parathyroidectomy,C) Adrenalectomy,D) Pancreatectomy,B,
MCQ on Hyperparathyroidism,9. Hyperparathyroidism can lead to which electrolyte imbalance?,A) Hypercalcemia and hypophosphatemia,B) Hypocalcemia and hyperphosphatemia,C) Hyperkalemia and hyponatremia,D) Hypocalcemia and hypophosphatemia,A,
MCQ on Hyperparathyroidism,11. Bone fractures are a risk in Hyperparathyroidism due to:,A) Increased bone density,B) Decreased bone density,C) Increased muscle strength,D) Reduced phosphate levels,B,
MCQ on Hyperparathyroidism,12. Which diagnostic test is used to measure parathyroid hormone levels?,A) Glucose tolerance test,B) PTH blood test,C) Thyroid function test,D) VMA test,B,
MCQ on Hyperparathyroidism,13. A common gastrointestinal symptom of Hyperparathyroidism is:,A) Diarrhea,B) Constipation,C) Weight gain,D) Increased appetite,B,
MCQ on Hyperparathyroidism,16. Which symptom is NOT typically associated with Hyperparathyroidism?,A) Fatigue,B) Tetany,C) Muscle weakness,D) Abdominal pain,B,
MCQ on Hyperparathyroidism,18. Hyperparathyroidism can increase the risk of:,A) Osteoporosis,B) Hypocalcemia,C) Seizures,D) Hypophosphatemia,A,
MCQ on Hyperparathyroidism,21. Kidney stones in Hyperparathyroidism are caused by:,A) Low calcium levels,B) High calcium levels in urine,C) Low phosphate levels,D) High sodium levels,B,
MCQ on Hyperparathyroidism,24. Which psychological symptom may occur in Hyperparathyroidism?,A) Depression,B) Euphoria,C) Hyperactivity,D) Mania,A,
MCQ on Hyperparathyroidism,26. Which procedure is used to confirm high calcium levels in urine?,A) 24-hour urine calcium test,B) Thyroid function test,C) ACTH stimulation test,D) Water deprivation test,A,
MCQ on Hyperparathyroidism,27. A common skeletal complication of Hyperparathyroidism is:,A) Increased bone strength,B) Osteitis fibrosa cystica,C) Tetany,D) Muscle spasms,B,
MCQ on Hyperparathyroidism,28. Which drug promotes urinary calcium excretion in Hyperparathyroidism?,A) Furosemide,B) Calcitriol,C) Levothyroxine,D) Desmopressin,A,
MCQ on Hyperparathyroidism,29. Hyperparathyroidism may cause which digestive issue?,A) Peptic ulcers,B) Diarrhea,C) Weight loss,D) Increased appetite,A,
MCQ on Hyperparathyroidism,31. A patient with Hyperparathyroidism may complain of:,A) Cold intolerance,B) Polyuria,C) Muscle spasms,D) Hair loss,B,
MCQ on Hyperparathyroidism,32. Which test is NOT typically used to diagnose Hyperparathyroidism?,A) Serum calcium test,B) PTH blood test,C) Glucose tolerance test,D) DEXA scan,C,
MCQ on Hyperparathyroidism,33. Hyperparathyroidism can lead to:,A) Hypophosphatemia,B) Hyperphosphatemia,C) Hyponatremia,D) Hyperkalemia,A,
MCQ on Hyperparathyroidism,35. Which symptom is associated with severe hypercalcemia?,A) Confusion,B) Tetany,C) Weight gain,D) Hyporeflexia,A,
MCQ on Hyperparathyroidism,37. Which imaging test helps detect parathyroid tumors?,A) Ultrasound of the neck,B) Chest X-ray,C) MRI brain,D) Bone scan,A,
MCQ on Hyperparathyroidism,38. Hyperparathyroidism is least likely to cause:,A) Kidney stones,B) Bone pain,C) Chvostek’s sign,D) Fatigue,C,
MCQ on Hyperparathyroidism,39. Which drug is used to manage hypercalcemia in emergency cases?,A) Calcitonin,B) Levothyroxine,C) Insulin,D) Propranolol,A,
MCQ on Hyperparathyroidism,41. Which condition is NOT a cause of secondary Hyperparathyroidism?,A) Chronic kidney disease,B) Vitamin D deficiency,C) Parathyroid adenoma,D) Hypocalcemia,C,
MCQ on Hyperparathyroidism,42. Hyperparathyroidism can cause which cardiovascular issue?,A) Hypotension,B) Hypertension,C) Bradycardia,D) Heart block,B,
MCQ on Hyperparathyroidism,43. A nursing priority for Hyperparathyroidism is to:,A) Encourage high-calcium diet,B) Promote hydration to prevent kidney stones,C) Restrict vitamin D intake,D) Limit physical activity,B,
MCQ on Hyperparathyroidism,44. Which symptom is specific to Hyperparathyroidism?,"A) “Stones, bones, groans, and moans”",B) Muscle spasms,C) Exophthalmos,D) Weight gain,A,
MCQ on Hyperparathyroidism,46. Which test monitors bone health in Hyperparathyroidism?,A) Serum glucose test,B) Alkaline phosphatase test,C) Thyroid function test,D) VMA test,B,
MCQ on Hyperparathyroidism,47. Tertiary Hyperparathyroidism occurs in:,A) Parathyroid adenoma,B) Long-standing secondary Hyperparathyroidism,C) Thyroid cancer,D) Iodine deficiency,B,
MCQ on Hyperparathyroidism,48. Which food should be avoided in Hyperparathyroidism?,A) Dairy products,B) Green leafy vegetables,C) Whole grains,D) Lean meats,A,
MCQ on Hyperparathyroidism,49. Hyperparathyroidism may cause which urinary symptom?,A) Oliguria,B) Polyuria,C) Hematuria,D) Dysuria,B,
MCQ on Diabetes mellitus and DKA,1. Diabetes mellitus is primarily caused by a deficiency or dysfunction of which hormone?,A) Cortisol,B) Insulin,C) Thyroxine,D) Parathyroid hormone,B,
MCQ on Diabetes mellitus and DKA,2. The normal fasting blood glucose level is:,A) 70-99 mg/dL,B) 100-150 mg/dL,C) 151-200 mg/dL,D) Above 200 mg/dL,A,
MCQ on Diabetes mellitus and DKA,3. Type 1 diabetes is characterized by:,A) Insulin resistance,B) Absolute insulin deficiency,C) Excess insulin production,D) High thyroid hormone levels,B,
MCQ on Diabetes mellitus and DKA,4. A common symptom of diabetes mellitus is:,A) Weight gain,B) Polyuria,C) Bone pain,D) Hypocalcemia,B,
MCQ on Diabetes mellitus and DKA,5. Which test is used to diagnose diabetes mellitus?,A) Thyroid function test,B) Fasting blood glucose test,C) ACTH stimulation test,D) Water deprivation test,B,
MCQ on Diabetes mellitus and DKA,8. Which drug is commonly used to treat type 2 diabetes?,A) Levothyroxine,B) Metformin,C) Calcitonin,D) Propranolol,B,
MCQ on Diabetes mellitus and DKA,9. Polydipsia in diabetes mellitus refers to:,A) Excessive hunger,B) Excessive thirst,C) Excessive urination,D) Excessive sweating,B,
MCQ on Diabetes mellitus and DKA,10. The glucose tolerance test is used to diagnose:,A) Hypothyroidism,B) Diabetes mellitus,C) Hyperparathyroidism,D) Addison’s disease,B,
MCQ on Diabetes mellitus and DKA,11. Insulin is primarily used to treat:,A) Type 2 diabetes only,B) Type 1 diabetes,C) Both type 1 and type 2 diabetes,D) Hyperthyroidism,C,
MCQ on Diabetes mellitus and DKA,12. Which symptom is NOT typically associated with diabetes mellitus?,A) Fatigue,B) Weight loss,C) Tetany,D) Blurred vision,C,
MCQ on Diabetes mellitus and DKA,13. The primary source of energy for cells in diabetes is impaired due to:,A) Low calcium levels,B) Inadequate glucose uptake,C) Excess thyroid hormone,D) High cortisol levels,B,
MCQ on Diabetes mellitus and DKA,14. Which type of diabetes is more common in children and young adults?,A) Type 2 diabetes,B) Type 1 diabetes,C) Gestational diabetes,D) Secondary diabetes,B,
MCQ on Diabetes mellitus and DKA,15. A common long-term complication of diabetes mellitus is:,A) Osteoporosis,B) Neuropathy,C) Hypercalcemia,D) Goiter,B,
MCQ on Diabetes mellitus and DKA,16. Which insulin type is given before meals to control post-meal glucose spikes?,A) Long-acting insulin,B) Rapid-acting insulin,C) Intermediate-acting insulin,D) Basal insulin,B,
MCQ on Diabetes mellitus and DKA,17. The HbA1c test reflects average blood glucose levels over:,A) 24 hours,B) 1 week,C) 2-3 months,D) 6 months,C,
MCQ on Diabetes mellitus and DKA,18. Which lifestyle modification is essential for managing type 2 diabetes?,A) High-sugar diet,B) Regular exercise,C) Avoiding all carbohydrates,D) Increased sodium intake,B,
MCQ on Diabetes mellitus and DKA,19. Which complication of diabetes affects the kidneys?,A) Retinopathy,B) Neuropathy,C) Nephropathy,D) Dermopathy,C,
MCQ on Diabetes mellitus and DKA,20. A finger-stick blood glucose test is used to:,A) Monitor daily glucose levels,B) Diagnose thyroid disorders,C) Measure calcium levels,D) Assess adrenal function,A,
MCQ on Diabetes mellitus and DKA,21. Which drug is used to improve insulin sensitivity in type 2 diabetes?,A) Calcitriol,B) Metformin,C) Propylthiouracil,D) Hydrocortisone,B,
MCQ on Diabetes mellitus and DKA,22. A symptom of uncontrolled diabetes mellitus is:,A) Weight gain,B) Increased thirst,C) Bone fractures,D) Cold intolerance,B,
MCQ on Diabetes mellitus and DKA,23. Which test is used to screen for gestational diabetes?,A) Oral glucose tolerance test,B) Thyroid scan,C) Sestamibi scan,D) VMA test,A,
MCQ on Diabetes mellitus and DKA,24. Insulin is administered via:,A) Oral tablets,B) Injections or insulin pump,C) Topical cream,D) Nasal spray,B,
MCQ on Diabetes mellitus and DKA,25. Which food should be limited in a diabetic diet?,A) Whole grains,B) Sugary beverages,C) Lean proteins,D) Non-starchy vegetables,B,
MCQ on Diabetes mellitus and DKA,26. Diabetic ketoacidosis (DKA) is most commonly associated with:,A) Type 2 diabetes,B) Type 1 diabetes,C) Gestational diabetes,D) Hypothyroidism,B,
MCQ on Diabetes mellitus and DKA,27. DKA is caused by a severe deficiency of:,A) Thyroid hormone,B) Insulin,C) Parathyroid hormone,D) Cortisol,B,
MCQ on Diabetes mellitus and DKA,28. A hallmark symptom of DKA is:,A) Hypoglycemia,B) Hyperglycemia,C) Hypocalcemia,D) Hyperkalemia,B,
MCQ on Diabetes mellitus and DKA,29. Which acid-base imbalance is seen in DKA?,A) Metabolic alkalosis,B) Metabolic acidosis,C) Respiratory acidosis,D) Respiratory alkalosis,B,
MCQ on Diabetes mellitus and DKA,30. A fruity odor on the breath is a sign of:,A) Hypoparathyroidism,B) Diabetic ketoacidosis,C) Hyperthyroidism,D) Addison’s disease,B,
MCQ on Diabetes mellitus and DKA,31. The primary treatment for DKA includes:,A) Oral glucose,B) Intravenous insulin and fluids,C) Calcium supplements,D) Antithyroid drugs,B,
MCQ on Diabetes mellitus and DKA,32. Which electrolyte is commonly imbalanced in DKA?,A) Calcium,B) Potassium,C) Magnesium,D) Sodium,B,
MCQ on Diabetes mellitus and DKA,33. Kussmaul respirations in DKA are characterized by:,"A) Slow, shallow breathing","B) Rapid, deep breathing",C) Irregular breathing,D) Periodic cessation of breathing,B,
MCQ on Diabetes mellitus and DKA,34. DKA is triggered by:,A) Excess insulin,B) Severe insulin deficiency,C) High calcium intake,D) Low thyroid hormone,B,
MCQ on Diabetes mellitus and DKA,35. Which test confirms DKA?,A) Blood ketone test,B) Thyroid function test,C) PTH blood test,D) Dexamethasone suppression test,A,
MCQ on Diabetes mellitus and DKA,36. A common precipitating factor for DKA is:,A) Infection,B) Hypoglycemia,C) Excess dietary calcium,D) Overhydration,A,
MCQ on Diabetes mellitus and DKA,37. Which symptom is NOT typical of DKA?,A) Nausea and vomiting,B) Abdominal pain,C) Weight gain,D) Dehydration,C,
MCQ on Diabetes mellitus and DKA,38. The blood pH in DKA is typically:,A) Above 7.45,B) Below 7.35,C) 7.35-7.45,D) Above 7.60,B,
MCQ on Diabetes mellitus and DKA,39. Which fluid is commonly used in DKA treatment?,A) Normal saline,B) Glucose syrup,C) Calcium gluconate,D) Distilled water,A,
MCQ on Diabetes mellitus and DKA,40. A nursing priority in DKA management is:,A) Restricting fluids,B) Monitoring electrolyte levels,C) Encouraging a high-sugar diet,D) Limiting insulin administration,B,
MCQ on Diabetes mellitus and DKA,"41. In DKA, blood glucose levels are usually:",A) Below 70 mg/dL,B) Above 250 mg/dL,C) 70-99 mg/dL,D) 100-150 mg/dL,B,
MCQ on Diabetes mellitus and DKA,42. Which ketone is most elevated in DKA?,A) Acetone,B) Glucose,C) Calcium,D) Sodium,A,
MCQ on Diabetes mellitus and DKA,43. A common sign of DKA is:,A) Cold intolerance,B) Confusion or lethargy,C) Muscle spasms,D) Bone pain,B,
MCQ on Diabetes mellitus and DKA,44. DKA treatment includes correcting:,A) Hypercalcemia,B) Dehydration and acidosis,C) Hypothyroidism,D) Hyperphosphatemia,B,
MCQ on Diabetes mellitus and DKA,45. Which diagnostic test measures blood pH in DKA?,A) Arterial blood gas (ABG),B) Thyroid scan,C) Sestamibi scan,D) ACTH stimulation test,A,
MCQ on Diabetes mellitus and DKA,46. A patient with DKA may present with:,A) Bradycardia,B) Tachycardia,C) Hypothermia,D) Weight gain,B,
MCQ on Diabetes mellitus and DKA,47. The anion gap is elevated in:,A) Hypoparathyroidism,B) Diabetic ketoacidosis,C) Hyperthyroidism,D) Addison’s disease,B,
MCQ on Diabetes mellitus and DKA,48. Which insulin is used in DKA management?,A) Long-acting insulin,B) Regular insulin,C) Rapid-acting insulin analog,D) Basal insulin,B,
MCQ on Diabetes mellitus and DKA,49. A key goal in DKA treatment is to:,A) Increase ketone production,B) Correct hyperglycemia and acidosis,C) Lower thyroid hormone levels,D) Increase calcium levels,B,
MCQ on Cushing syndrome and Addison disease,50. A patient with DKA should be monitored for:,A) Hypokalemia during treatment,B) Hypercalcemia,C) Hypothyroidism,D) Weight gain,A,
MCQ on Cushing syndrome and Addison disease,1. Cushing’s syndrome is caused by an excess of which hormone?,A) Insulin,B) Cortisol,C) Thyroxine,D) Parathyroid hormone,B,
MCQ on Cushing syndrome and Addison disease,2. A common physical sign of Cushing’s syndrome is:,A) Bronze skin pigmentation,B) Moon face,C) Exophthalmos,D) Tetany,B,
MCQ on Cushing syndrome and Addison disease,3. Buffalo hump is associated with:,A) Addison’s disease,B) Cushing’s syndrome,C) Hypothyroidism,D) Diabetes insipidus,B,
MCQ on Cushing syndrome and Addison disease,5. Which test is used to diagnose Cushing’s syndrome?,A) Dexamethasone suppression test,B) Water deprivation test,C) Thyroid function test,D) VMA test,A,
MCQ on Cushing syndrome and Addison disease,6. A common symptom of Cushing’s syndrome is:,A) Weight loss,B) Weight gain,C) Cold intolerance,D) Polyuria,B,
MCQ on Cushing syndrome and Addison disease,7. Which surgery is performed to remove an adrenal tumor causing Cushing’s syndrome?,A) Thyroidectomy,B) Adrenalectomy,C) Parathyroidectomy,D) Hypophysectomy,B,
MCQ on Cushing syndrome and Addison disease,8. Hirsutism in Cushing’s syndrome is due to excess:,A) Insulin,B) Androgens,C) Thyroid hormone,D) Parathyroid hormone,B,
MCQ on Cushing syndrome and Addison disease,9. Which drug is used to manage cortisol excess in Cushing’s syndrome?,A) Ketoconazole,B) Levothyroxine,C) Insulin,D) Calcitonin,A,
MCQ on Cushing syndrome and Addison disease,10. A long-term complication of Cushing’s syndrome is:,A) Osteoporosis,B) Kidney stones,C) Tetany,D) Hypoglycemia,A,
MCQ on Cushing syndrome and Addison disease,11. The normal range for serum cortisol (morning) is approximately:,A) 5-25 µg/dL,B) 50-100 µg/dL,C) 100-150 µg/dL,D) Below 5 µg/dL,A,
MCQ on Cushing syndrome and Addison disease,12. Striae (stretch marks) are commonly seen in:,A) Hypoparathyroidism,B) Cushing’s syndrome,C) Addison’s disease,D) Graves’ disease,B,
MCQ on Cushing syndrome and Addison disease,13. Which diagnostic test measures cortisol levels in urine?,A) 24-hour urinary free cortisol test,B) Glucose tolerance test,C) Thyroid scan,D) Sestamibi scan,A,
MCQ on Cushing syndrome and Addison disease,14. A nursing intervention for Cushing’s syndrome includes:,A) Encouraging a high-sodium diet,B) Monitoring for signs of infection,C) Restricting calcium intake,D) Limiting physical activity,B,
MCQ on Cushing syndrome and Addison disease,15. Cushing’s syndrome can cause which psychological symptom?,A) Euphoria,B) Depression or mood swings,C) Hyperactivity,D) Cold intolerance,B,
MCQ on Cushing syndrome and Addison disease,16. Which imaging test is used to locate adrenal tumors in Cushing’s syndrome?,A) CT scan of the abdomen,B) Thyroid ultrasound,C) Chest X-ray,D) Bone scan,A,
MCQ on Cushing syndrome and Addison disease,17. Hyperglycemia in Cushing’s syndrome is due to:,A) Insulin deficiency,B) Cortisol-induced insulin resistance,C) Low thyroid hormone,D) High parathyroid hormone,B,
MCQ on Cushing syndrome and Addison disease,18. Which symptom is NOT typical of Cushing’s syndrome?,A) Muscle weakness,B) Weight gain,C) Bronze skin pigmentation,D) Hypertension,C,
MCQ on Cushing syndrome and Addison disease,19. Metyrapone is a drug used in Cushing’s syndrome to:,A) Increase cortisol production,B) Inhibit cortisol production,C) Increase calcium levels,D) Treat hypothyroidism,B,
MCQ on Cushing syndrome and Addison disease,20. Cushing’s syndrome may result from:,A) Long-term glucocorticoid use,B) Iodine deficiency,C) Autoimmune adrenal destruction,D) Parathyroid adenoma,A,
MCQ on Cushing syndrome and Addison disease,21. Which electrolyte imbalance is common in Cushing’s syndrome?,A) Hypokalemia,B) Hypercalcemia,C) Hyponatremia,D) Hyperphosphatemia,A,
MCQ on Cushing syndrome and Addison disease,22. A patient with Cushing’s syndrome may have:,"A) Thin, fragile skin",B) Thickened skin,C) Cold intolerance,D) Weight loss,A,
MCQ on Cushing syndrome and Addison disease,23. Which test evaluates pituitary function in Cushing’s syndrome?,A) ACTH stimulation test,B) Dexamethasone suppression test,C) Thyroid function test,D) Glucose tolerance test,B,
MCQ on Cushing syndrome and Addison disease,24. A dietary recommendation for Cushing’s syndrome includes:,A) High-sodium foods,B) Low-potassium foods,C) Balanced diet with controlled carbohydrates,D) High-sugar foods,C,
MCQ on Cushing syndrome and Addison disease,25. Hypophysectomy may be performed in Cushing’s syndrome to remove:,A) Adrenal gland,B) Pituitary tumor,C) Thyroid gland,D) Parathyroid gland,B,
MCQ on Cushing syndrome and Addison disease,27. A hallmark sign of Addison’s disease is:,A) Moon face,B) Bronze skin pigmentation,C) Buffalo hump,D) Exophthalmos,B,
MCQ on Cushing syndrome and Addison disease,28. Addison’s disease is most commonly caused by:,A) Autoimmune destruction of adrenal glands,B) Adrenal tumor,C) Iodine deficiency,D) Parathyroid adenoma,A,
MCQ on Cushing syndrome and Addison disease,29. Which test is used to diagnose Addison’s disease?,A) ACTH stimulation test,B) Dexamethasone suppression test,C) Thyroid function test,D) Water deprivation test,A,
MCQ on Cushing syndrome and Addison disease,30. A common symptom of Addison’s disease is:,A) Weight gain,B) Weight loss,C) Bone pain,D) Polyuria,B,
MCQ on Cushing syndrome and Addison disease,31. Which drug is used to replace cortisol in Addison’s disease?,A) Hydrocortisone,B) Levothyroxine,C) Metformin,D) Calcitonin,A,
MCQ on Cushing syndrome and Addison disease,32. Addisonian crisis is a life-threatening complication of:,A) Cushing’s syndrome,B) Addison’s disease,C) Hyperparathyroidism,D) Diabetes insipidus,B,
MCQ on Cushing syndrome and Addison disease,33. Which electrolyte imbalance is common in Addison’s disease?,A) Hyperkalemia,B) Hypokalemia,C) Hypercalcemia,D) Hypophosphatemia,A,
MCQ on Cushing syndrome and Addison disease,34. Fludrocortisone is used in Addison’s disease to replace:,A) Cortisol,B) Aldosterone,C) Insulin,D) Thyroxine,B,
MCQ on Cushing syndrome and Addison disease,35. A symptom of Addison’s disease is:,A) Hypertension,B) Hypotension,C) Weight gain,D) Hirsutism,B,
MCQ on Cushing syndrome and Addison disease,36. Which test measures adrenal function in Addison’s disease?,A) Serum cortisol test,B) Thyroid scan,C) Glucose tolerance test,D) Sestamibi scan,A,
MCQ on Cushing syndrome and Addison disease,37. A nursing intervention for Addison’s disease includes:,A) Monitoring for signs of dehydration,B) Encouraging a low-sodium diet,C) Restricting fluid intake,D) Limiting glucocorticoid use,A,
MCQ on Cushing syndrome and Addison disease,38. Addisonian crisis is triggered by:,A) Excess cortisol,B) Acute stress or infection,C) High sodium intake,D) Overhydration,B,
MCQ on Cushing syndrome and Addison disease,39. Which symptom is NOT typical of Addison’s disease?,A) Fatigue,B) Muscle weakness,C) Moon face,D) Salt craving,C,
MCQ on Cushing syndrome and Addison disease,40. The normal range for serum sodium is:,A) 135-145 mEq/L,B) 100-120 mEq/L,C) 150-160 mEq/L,D) Below 100 mEq/L,A,
MCQ on Cushing syndrome and Addison disease,"41. In Addison’s disease, blood glucose levels may be:",A) High,B) Low,C) Normal,D) Unpredictable,B,
MCQ on Cushing syndrome and Addison disease,42. Which imaging test may be used to evaluate adrenal glands in Addison’s disease?,A) CT scan of the abdomen,B) Thyroid ultrasound,C) DEXA scan,D) Chest X-ray,A,
MCQ on Cushing syndrome and Addison disease,43. A patient with Addison’s disease may experience:,A) Hyperpigmentation,B) Weight gain,C) Osteoporosis,D) Kidney stones,A,
MCQ on Cushing syndrome and Addison disease,44. Treatment of Addisonian crisis includes:,A) Intravenous fluids and glucocorticoids,B) Oral glucose,C) Antithyroid drugs,D) Calcium supplements,A,
MCQ on Cushing syndrome and Addison disease,45. Which dietary recommendation is appropriate for Addison’s disease?,A) Low-sodium diet,B) High-sodium diet,C) High-sugar diet,D) Low-potassium diet,B,
MCQ on Cushing syndrome and Addison disease,46. Addison’s disease can cause which psychological symptom?,A) Euphoria,B) Depression,C) Mania,D) Hyperactivity,B,
MCQ on Cushing syndrome and Addison disease,47. Which test confirms low cortisol levels in Addison’s disease?,A) ACTH stimulation test,B) Dexamethasone suppression test,C) Thyroid function test,D) 24-hour urinary cortisol test,A,
MCQ on Cushing syndrome and Addison disease,48. A common trigger for Addisonian crisis is:,A) Overuse of glucocorticoids,B) Sudden withdrawal of steroids,C) High calcium intake,D) Excess iodine,B,
MCQ on Cushing syndrome and Addison disease,49. Which symptom is specific to Addison’s disease?,A) Salt craving,B) Buffalo hump,C) Moon face,D) Exophthalmos,A,
MCQ on Diabetes insipidus and SIADH,50. A long-term complication of untreated Addison’s disease is:,A) Osteoporosis,B) Hypovolemic shock,C) Kidney stones,D) Hyperglycemia,B,
MCQ on Diabetes insipidus and SIADH,1. Diabetes insipidus is caused by a deficiency of which hormone?,A) Insulin,B) Antidiuretic hormone (ADH),C) Cortisol,D) Thyroxine,B,
MCQ on Diabetes insipidus and SIADH,2. The primary symptom of diabetes insipidus is:,A) Weight gain,B) Polyuria,C) Bone pain,D) Hypoglycemia,B,
MCQ on Diabetes insipidus and SIADH,3. Which type of diabetes insipidus is caused by a problem in the pituitary gland?,A) Nephrogenic,B) Central,C) Gestational,D) Secondary,B,
MCQ on Diabetes insipidus and SIADH,4. Nephrogenic diabetes insipidus is due to:,A) Lack of ADH production,B) Kidney resistance to ADH,C) Excess ADH secretion,D) High cortisol levels,B,
MCQ on Diabetes insipidus and SIADH,5. A hallmark symptom of diabetes insipidus is:,A) Polydipsia,B) Weight loss,C) Hyperglycemia,D) Tetany,A,
MCQ on Diabetes insipidus and SIADH,6. The water deprivation test is used to diagnose:,A) Diabetes mellitus,B) Diabetes insipidus,C) Hyperparathyroidism,D) Cushing’s syndrome,B,
MCQ on Diabetes insipidus and SIADH,7. Which drug is used to treat central diabetes insipidus?,A) Metformin,B) Desmopressin,C) Levothyroxine,D) Calcitonin,B,
MCQ on Diabetes insipidus and SIADH,"9. In diabetes insipidus, serum sodium levels are typically:",A) Low,B) High,C) Normal,D) Unpredictable,B,
MCQ on Diabetes insipidus and SIADH,10. A common cause of central diabetes insipidus is:,A) Kidney failure,B) Head trauma or pituitary surgery,C) Autoimmune adrenal destruction,D) Iodine deficiency,B,
MCQ on Diabetes insipidus and SIADH,11. Which symptom is NOT typical of diabetes insipidus?,A) Excessive thirst,B) Dilute urine,C) Weight gain,D) Dehydration,C,
MCQ on Diabetes insipidus and SIADH,12. The specific gravity of urine in diabetes insipidus is:,A) High,B) Low,C) Normal,D) Variable,B,
MCQ on Diabetes insipidus and SIADH,13. Which diagnostic test measures urine concentration in diabetes insipidus?,A) Urine osmolality test,B) Thyroid function test,C) ACTH stimulation test,D) Dexamethasone suppression test,A,
MCQ on Diabetes insipidus and SIADH,14. A nursing intervention for diabetes insipidus includes:,A) Restricting fluid intake,B) Monitoring for dehydration,C) Encouraging a high-sodium diet,D) Limiting physical activity,B,
MCQ on Diabetes insipidus and SIADH,15. Desmopressin is administered via:,A) Oral tablets or nasal spray,B) Topical cream,C) Intravenous infusion only,D) Inhalation,A,
MCQ on Diabetes insipidus and SIADH,16. Nephrogenic diabetes insipidus may be treated with:,A) Thiazide diuretics,B) Insulin,C) Levothyroxine,D) Calcitriol,A,
MCQ on Diabetes insipidus and SIADH,17. A complication of untreated diabetes insipidus is:,A) Hypovolemic shock,B) Hyperglycemia,C) Osteoporosis,D) Tetany,A,
MCQ on Diabetes insipidus and SIADH,18. Which test confirms the response to desmopressin in diabetes insipidus?,A) Water deprivation test,B) Glucose tolerance test,C) Serum cortisol test,D) VMA test,A,
MCQ on Diabetes insipidus and SIADH,19. Polyuria in diabetes insipidus is due to:,A) Inability to concentrate urine,B) Excess glucose in urine,C) High calcium levels,D) Low potassium levels,A,
MCQ on Diabetes insipidus and SIADH,20. A dietary recommendation for diabetes insipidus includes:,A) Adequate hydration,B) Low-fluid intake,C) High-sugar diet,D) Low-sodium diet,A,
MCQ on Diabetes insipidus and SIADH,21. Which imaging test may be used to evaluate the pituitary gland in diabetes insipidus?,A) MRI brain,B) Chest X-ray,C) Thyroid ultrasound,D) DEXA scan,A,
MCQ on Diabetes insipidus and SIADH,22. Fatigue in diabetes insipidus is caused by:,A) Hyperglycemia,B) Dehydration,C) Hypocalcemia,D) Hyperthyroidism,B,
MCQ on Diabetes insipidus and SIADH,23. The normal urine output per day is approximately:,A) 1-2 liters,B) 5-6 liters,C) 10-12 liters,D) Below 0.5 liters,A,
MCQ on Diabetes insipidus and SIADH,"24. In diabetes insipidus, urine output is typically:",A) Decreased,B) Increased (4-10 liters/day),C) Normal,D) Absent,B,
MCQ on Diabetes insipidus and SIADH,25. Which condition does NOT cause diabetes insipidus?,A) Pituitary tumor,B) Head injury,C) Kidney failure,D) Parathyroid adenoma,D,
MCQ on Diabetes insipidus and SIADH,26. SIADH is characterized by:,A) Deficiency of ADH,B) Excess ADH secretion,C) Insulin deficiency,D) Cortisol excess,B,
MCQ on Diabetes insipidus and SIADH,27. The primary electrolyte imbalance in SIADH is:,A) Hypernatremia,B) Hyponatremia,C) Hyperkalemia,D) Hypocalcemia,B,
MCQ on Diabetes insipidus and SIADH,28. A common symptom of SIADH is:,A) Polyuria,B) Confusion,C) Polydipsia,D) Weight loss,B,
